trainer_id,name,skills,experience_years,location,available,hourly_rate
T001,Trainer A,"Python, SQL, PostgreSQL, Data Science",1,Jaipur,Yes,1803
T002,Trainer B,"Angular, JavaScript, HTML, CSS, TypeScript, Node.js",11,Jaipur,No,1156
T003,Trainer C,"Azure, Docker, Kubernetes, Python, C++, Java, Angular",4,Gurgaon,No,908
T004,Trainer D,"AWS, Docker, Kubernetes, Python, Tableau",4,Chennai,No,1939
T005,Trainer E,"Python, Spark, Databricks, SQL",13,Noida,Yes,2193
T006,Trainer F,"Python, Machine Learning, Data Science, Scikit-learn, PostgreSQL",13,Pune,Yes,1179
T007,Trainer G,"Python, NLP, Machine Learning, Generative AI",6,Pune,No,1883
T008,Trainer H,"Python, Spark, Databricks, SQL",12,Chennai,No,1311
T009,Trainer I,"Python, FastAPI, PostgreSQL, Docker, Angular, Kubernetes, LangChain",10,Gurgaon,Yes,987
T010,Trainer J,"Python, SQL, PostgreSQL, Data Science, Kubernetes",2,Gurgaon,Yes,2356
T011,Trainer K,"Python, Machine Learning, Data Science, Scikit-learn, LangChain, Spring Boot, Generative AI",4,Ahmedabad,Yes,1092
T012,Trainer L,"Azure, Docker, Kubernetes, Python, AWS",3,Chennai,Yes,1905
T013,Trainer M,"Python, FastAPI, PostgreSQL, Docker, Deep Learning",14,Bangalore,Yes,931
T014,Trainer N,"Python, Spark, Databricks, SQL, Power BI, Docker",2,Gurgaon,No,2088
T015,Trainer O,"Angular, JavaScript, HTML, CSS, TypeScript, Power BI, TensorFlow",5,Noida,Yes,1876
T016,Trainer P,"Power BI, SQL, Tableau, Excel, LangChain, MongoDB",3,Kolkata,Yes,1172
T017,Trainer Q,"Python, Spark, Databricks, SQL",14,Delhi,Yes,1455
T018,Trainer R,"Python, Spark, Databricks, SQL, React, Data Science, TensorFlow",9,Mumbai,No,847
T019,Trainer S,"Python, SQL, PostgreSQL, Data Science",11,Kolkata,Yes,2193
T020,Trainer T,"Python, Django, Flask, FastAPI, HTML, Spring Boot",8,Bangalore,Yes,2850
T021,Trainer U,"Python, Spark, Databricks, SQL",15,Delhi,Yes,2879
