requirement_id,method,hit_at_1,hit_at_3,reciprocal_rank,top_trainer
R001,overlap,1,1,1.0,T038
R002,overlap,1,1,1.0,T069
R003,overlap,0,1,0.5,T056
R004,overlap,1,1,1.0,T088
R005,overlap,1,1,1.0,T006
R006,overlap,1,1,1.0,T042
R007,overlap,1,1,1.0,T036
R008,overlap,1,1,1.0,T011
R009,overlap,1,1,1.0,T074
R010,overlap,1,1,1.0,T012
R011,overlap,1,1,1.0,T054
R012,overlap,1,1,1.0,T016
R013,overlap,1,1,1.0,T005
R014,overlap,0,1,0.3333,T052
R015,overlap,1,1,1.0,T055
R016,overlap,1,1,1.0,T038
R017,overlap,1,1,1.0,T069
R018,overlap,0,1,0.5,T056
R019,overlap,1,1,1.0,T088
R020,overlap,1,1,1.0,T006
R021,overlap,1,1,1.0,T042
R022,overlap,1,1,1.0,T036
R023,overlap,1,1,1.0,T011
R024,overlap,1,1,1.0,T074
R025,overlap,1,1,1.0,T012
R026,overlap,1,1,1.0,T054
R027,overlap,1,1,1.0,T016
R028,overlap,1,1,1.0,T005
R029,overlap,0,1,0.3333,T052
R030,overlap,1,1,1.0,T055
R001,tfidf,1,1,1.0,T038
R002,tfidf,1,1,1.0,T069
R003,tfidf,0,1,0.5,T056
R004,tfidf,1,1,1.0,T088
R005,tfidf,1,1,1.0,T085
R006,tfidf,1,1,1.0,T013
R007,tfidf,1,1,1.0,T086
R008,tfidf,1,1,1.0,T086
R009,tfidf,1,1,1.0,T100
R010,tfidf,1,1,1.0,T040
R011,tfidf,1,1,1.0,T057
R012,tfidf,0,1,0.5,T093
R013,tfidf,1,1,1.0,T005
R014,tfidf,1,1,1.0,T057
R015,tfidf,0,1,0.5,T041
R016,tfidf,1,1,1.0,T038
R017,tfidf,1,1,1.0,T069
R018,tfidf,0,1,0.5,T056
R019,tfidf,1,1,1.0,T088
R020,tfidf,1,1,1.0,T085
R021,tfidf,1,1,1.0,T013
R022,tfidf,1,1,1.0,T086
R023,tfidf,1,1,1.0,T086
R024,tfidf,1,1,1.0,T100
R025,tfidf,1,1,1.0,T040
R026,tfidf,1,1,1.0,T057
R027,tfidf,0,1,0.5,T093
R028,tfidf,1,1,1.0,T005
R029,tfidf,1,1,1.0,T057
R030,tfidf,0,1,0.5,T041
